"date","btc_usd","buy_bitcoin","id","is_partial","period_interval","trend_ratio","update_timestamp"
"2019-01-19 00:00:00+00:00",36,16,27248,False,"1d",0.44444,"2019-03-06 00:01:53.020147+00:00"
"2019-01-20 00:00:00+00:00",28,13,27249,False,"1d",0.46429,"2019-03-06 00:01:53.023590+00:00"
"2019-01-21 00:00:00+00:00",28,13,27250,False,"1d",0.46429,"2019-03-06 00:01:53.027351+00:00"
"2019-01-22 00:00:00+00:00",34,8,27251,False,"1d",0.23529,"2019-03-06 00:01:53.030494+00:00"
"2019-01-23 00:00:00+00:00",29,8,27252,False,"1d",0.27586,"2019-03-06 00:01:53.033946+00:00"
"2019-01-24 00:00:00+00:00",37,9,27253,False,"1d",0.24324,"2019-03-06 00:01:53.037717+00:00"
"2019-01-25 00:00:00+00:00",37,10,27254,False,"1d",0.27027,"2019-03-06 00:01:53.040934+00:00"
"2019-01-26 00:00:00+00:00",31,11,27255,False,"1d",0.35484,"2019-03-06 00:01:53.043714+00:00"
"2019-01-27 00:00:00+00:00",25,13,27256,False,"1d",0.52000,"2019-03-06 00:01:53.046818+00:00"
"2019-01-28 00:00:00+00:00",33,11,27257,False,"1d",0.33333,"2019-03-06 00:01:53.050870+00:00"
"2019-01-29 00:00:00+00:00",37,11,27258,False,"1d",0.29730,"2019-03-06 00:01:53.055764+00:00"
"2019-01-30 00:00:00+00:00",33,10,27259,False,"1d",0.30303,"2019-03-06 00:01:53.058924+00:00"
"2019-01-31 00:00:00+00:00",29,11,27260,False,"1d",0.37931,"2019-03-06 00:01:53.062067+00:00"
"2019-02-01 00:00:00+00:00",27,10,27261,False,"1d",0.37037,"2019-03-06 00:01:53.065465+00:00"
"2019-02-02 00:00:00+00:00",26,14,27262,False,"1d",0.53846,"2019-03-06 00:01:53.068624+00:00"
"2019-02-03 00:00:00+00:00",26,14,27263,False,"1d",0.53846,"2019-03-06 00:01:53.071796+00:00"
"2019-02-04 00:00:00+00:00",33,14,27264,False,"1d",0.42424,"2019-03-06 00:01:53.077012+00:00"
"2019-02-05 00:00:00+00:00",28,16,27265,False,"1d",0.57143,"2019-03-06 00:01:53.080422+00:00"
"2019-02-06 00:00:00+00:00",30,13,27266,False,"1d",0.43333,"2019-03-06 00:01:53.084059+00:00"
"2019-02-07 00:00:00+00:00",31,13,27267,False,"1d",0.41935,"2019-03-06 00:01:53.087320+00:00"
"2019-02-08 00:00:00+00:00",32,12,27268,False,"1d",0.37500,"2019-03-06 00:01:53.090707+00:00"
"2019-02-09 00:00:00+00:00",33,11,27269,False,"1d",0.33333,"2019-03-06 00:01:53.094005+00:00"
"2019-02-10 00:00:00+00:00",30,15,27270,False,"1d",0.50000,"2019-03-06 00:01:53.097470+00:00"
"2019-02-11 00:00:00+00:00",34,11,27271,False,"1d",0.32353,"2019-03-06 00:01:53.100939+00:00"
"2019-02-12 00:00:00+00:00",28,11,27272,False,"1d",0.39286,"2019-03-06 00:01:53.104005+00:00"
"2019-02-13 00:00:00+00:00",26,13,27273,False,"1d",0.50000,"2019-03-06 00:01:53.108175+00:00"
